doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1057/ejis.2010.21	Developing a unified framework of the business model concept	Analysis & Policy Observatory (APO)	2013	The virtual university: impact on Australian accounting and business education	http://apo.org.au/node/61853
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1046/j.1365-2575.2001.00094.x	Dismantling the silos: extracting new value from IT investments in public administration	The Publications Office of the European Union	2011	Socio-economic Benefits from the Use of Earth Ubservation - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/3651c506-2dd4-4244-af83-ddd07f5dd5a4/language-en/format-PDF
10.1046/j.1365-2575.1998.00031.x	Process and reality in information systems benefit analysis	The Publications Office of the European Union	2014	Business models for eHealth - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/04e0030f-79cd-4146-86c9-b42c741a2fec/language-en/format-PDF
10.1046/j.1365-2575.2002.00123.x	The role of intermediaries in electronic marketplaces: developing a contingency model	rijksoverheid.nl	2010	Uitbesteden? Wat brengt de toekomst. Vier scenario's voor intermediaire e-overheidsdiensten voor bedrijven - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2010/07/16/uitbesteden-wat-brengt-de-toekomst-vier-scenario-s-voor-intermediaire-e-overheidsdiensten-voor-bedrijven
10.1046/j.1365-2575.1999.00065.x	Training to improve virtual team communication	The Publications Office of the European Union	2014	Sustainable value creation in networked working environments (network4value) - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/5f17981e-354d-43c2-9d61-85882a02f7a7/language-en/format-PDF
10.1111/j.1365-2575.2006.00207.x	The challenges of redressing the digital divide: a tale of two US cities	Analysis & Policy Observatory (APO)	2012	Public access, private mobile: the interplay of shared access and the mobile Internet for teenagers in Cape Town	http://apo.org.au/node/32039
10.1111/j.1365-2575.2006.00207.x	The challenges of redressing the digital divide: a tale of two US cities	Analysis & Policy Observatory (APO)	2012	Digital technology access and use among socially and economically disadvantaged groups in South Australia	http://apo.org.au/node/67307
10.1046/j.1365-2575.2002.00117.x	Code quality analysis in open source software development	Analysis & Policy Observatory (APO)	2016	Intellectual property arrangements	http://apo.org.au/node/72016
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1287/isre.6.1.3	Information Technologies and Business Value: An Analytic and Empirical Investigation	National Bureau of Economic Research	2013	Digital Dark Matter and the Economic Contribution of Apache	http://nber.org/papers/w19507
10.1287/isre.3.4.307	The Relationship Between Investment in Information Technology and Firm Performance: A Study of the Valve Manufacturing Sector	National Academies Press	1998	Fostering Research on the Economic and Social Impacts of Information Technology	https://www.nap.edu/catalog/6269/fostering-research-on-the-economic-and-social-impacts-of-information-technology
10.1287/isre.1.4.440	An Attribute Space for Organizational Communication Channels	National Academies Press	2011	Threatening Communications and Behavior: Perspectives on the Pursuit of Public Figures	https://www.nap.edu/catalog/13091/threatening-communications-and-behavior-perspectives-on-the-pursuit-of-public
10.1287/isre.1050.0064	The Impact of E-Commerce on Competition in the Retail Brokerage Industry	UK Government (GOV.UK)	2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.1287/isre.1090.0256	Addressing Digital Inequality for the Socioeconomically Disadvantaged Through Government Initiatives: Forms of Capital That Affect ICT Utilization	Analysis & Policy Observatory (APO)	2012	Public access, private mobile: the interplay of shared access and the mobile Internet for teenagers in Cape Town	http://apo.org.au/node/32039
10.1287/isre.1070.0113	Through a Glass Darkly: Information Technology Design, Identity Verification, and Knowledge Contribution in Online Communities	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1287/isre.10.2.134	Information Technology and Firm Boundaries: Evidence from Panel Data	National Bureau of Economic Research	2013	Digitization and the Contract Labor Market: A Research Agenda	http://nber.org/papers/w19525
10.1287/isre.1110.0408	Information, Technology, and Information Worker Productivity	The Publications Office of the European Union	2013	ICT and productivity - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/d9cdb5ed-aaa5-4030-9623-c46769068e39/language-en/format-PDF
10.1287/isre.11.4.418.11876	Research Report: The Evolving Relationship Between General and Specific Computer Self-Efficacy—An Empirical Assessment	Analysis & Policy Observatory (APO)	2014	Factors impacting teachers’ adoption of mobile learning	http://apo.org.au/node/41352
10.1287/isre.1120.0453	How Is the Mobile Internet Different? Search Costs and Local Activities	UK Government (GOV.UK)	2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.1287/isre.1090.0260	The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study	overheid.nl	2013	TNO-rapport 'Stimulerende en remmende factoren van Privacy by Design in Nederland'	https://zoek.officielebekendmakingen.nl/blg-228946.pdf
10.1287/isre.1090.0260	The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study	rijksoverheid.nl	2012	Stimulerende en remmende factoren van Privacy by Design in Nederland - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2012/05/01/stimulerende-en-remmende-factoren-van-privacy-by-design-in-nederland
10.1287/isre.14.2.127.16019	Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1287/isre.6.4.376	The Emergence of Interpretivism in IS Research	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1287/isre.1090.0273	Conceptualizing and Testing a Social Cognitive Model of the Digital Divide	The Publications Office of the European Union	2015	Learning and teaching technology options - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/d2b56696-e05a-4280-bf79-3b1f83e9101a/language-en/format-PDF
10.1287/isre.5.2.110	Computer-Mediated Communication for Intellectual Teamwork: An Experiment in Group Writing	National Academies Press	1969	Research Recommendations to Facilitate Distributed Work	https://www.nap.edu/catalog/4812/research-recommendations-to-facilitate-distributed-work
10.1287/isre.7.1.111	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	Analysis & Policy Observatory (APO)	2014	Homeless and connected: mobile phones and the Internet in the lives of homeless Australians	http://apo.org.au/node/40723
10.1287/isre.7.1.111	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	Analysis & Policy Observatory (APO)	2013	Knowledge infrastructures: intellectual frameworks and research challenges	http://apo.org.au/node/53828
10.1287/isre.7.1.111	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	National Academies Press	1999	Distributed Geolibraries: Spatial Information Resources, Summary of a Workshop	https://www.nap.edu/catalog/9460/distributed-geolibraries-spatial-information-resources-summary-of-a-workshop
10.1287/isre.1120.0468	An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets	The Publications Office of the European Union	2016	Crowdfunding from an investor perspective - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/176b77c8-18cd-11e6-ba9a-01aa75ed71a1/language-en/format-PDF
10.1287/isre.1120.0468	An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets	National Bureau of Economic Research	2015	Slack Time and Innovation	http://www.nber.org/papers/w21134
10.1287/isre.1040.0032	Internet Users' Information Privacy Concerns (IUIPC): The Construct, the Scale, and a Causal Model	Analysis & Policy Observatory (APO)	2017	Towards responsive regulation of the Internet of Things: Australian perspectives	http://apo.org.au/node/74849
10.1287/isre.13.3.334.81	Developing and Validating Trust Measures for e-Commerce: An Integrative Typology	UK Government (GOV.UK)	2012	Trust and confidence in pensions: A literature review	https://www.gov.uk/government/publications/trust-and-confidence-in-pensions-a-literature-review
10.1287/isre.2014.0547	Health Information Exchange as a Multisided Platform: Adoption, Usage, and Practice Involvement in Service Co-Production	Brookings Institute	2015	The benefits of health information exchange platforms: Measuring the returns on a half a billion dollar investment	https://www.brookings.edu/research/the-benefits-of-health-information-exchange-platforms-measuring-the-returns-on-a-half-a-billion-dollar-investment/
10.1287/isre.9.4.380	International Software Piracy: Analysis of Key Issues and Impacts	National Bureau of Economic Research	2013	The Nature and Incidence of Software Piracy: Evidence from Windows	http://nber.org/papers/w19755
10.1287/isre.1100.0327	Research Commentary—The Digital Transformation of Healthcare: Current Status and the Road Ahead	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1287/isre.1090.0239	Crossing Spatial and Temporal Boundaries in Globally Distributed Projects: A Relational Model of Coordination Delay	National Academies Press	2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1287/isre.1060.0094	From IT Leveraging Competence to Competitive Advantage in Turbulent Environments: The Case of New Product Development	Brookings Institute	2017	Digitalization and the American workforce	https://www.brookings.edu/research/digitalization-and-the-american-workforce/
10.1287/isre.1100.0322	              Research Commentary              —The New Organizing Logic of Digital Innovation: An Agenda for Information Systems Research            	Analysis & Policy Observatory (APO)	2016	Index on digital life	http://apo.org.au/node/65326
10.1287/isre.1100.0318	              Research Commentary              —Digital Infrastructures: The Missing IS Research Agenda            	Australian Policy Online	2016	Index on digital life	http://apo.org.au/node/65326
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1080/026839600344311	Developing intraorganizational electronic commerce strategy: an ethnographic study	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1057/palgrave.jit.2000053	IT to support knowledge sharing in communities, towards a social capital analysis	The Publications Office of the European Union	2014	Study on the social impact of ICT - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/965570c3-a6ff-44ea-b2c9-6feb7e24de7c/language-en/format-PDF
10.1057/jit.2015.5	Big other: surveillance capitalism and the prospects of an information civilization	Analysis & Policy Observatory (APO)	2015	The tradeoff fallacy: how marketers are misrepresenting American consumers and opening them up to exploitation	http://apo.org.au/node/55202
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.2753/mis0742-122230304	Online Consumer Search Depth: Theories and New Findings	UK Government (GOV.UK)	2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.2753/mis0742-1222230107	Buyers' Choice of Online Search Strategy and Its Managerial Implications	UK Government (GOV.UK)	2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.2753/mis0742-1222230410	Recommendation Agents for Electronic Commerce: Effects of Explanation Facilities on Trusting Beliefs	Analysis & Policy Observatory (APO)	2009	Copycats? Digital consumers in the on-line age	http://apo.org.au/node/19575
10.2753/mis0742-1222270303	Regulation of Digital Businesses with Natural Monopolies or Third-Party Payment Business Models: Antitrust Lessons from the Analysis of Google	Analysis & Policy Observatory (APO)	2016	Tech giants and civic power	http://apo.org.au/node/64837
10.2753/mis0742-1222250105	Multiple Group Coordination in Complex and Dynamic Task Environments: Interruptions, Coping Mechanisms, and Technology Recommendations	National Academies Press	2013	Guidebook to Creating a Collaborative Environment Between Airport Operations and Maintenance	https://www.nap.edu/catalog/22478/guidebook-to-creating-a-collaborative-environment-between-airport-operations-and-maintenance
10.1080/07421222.2003.11045746	Team Boundary Issues Across Multiple Global Firms	National Academies Press	2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1080/07421222.2005.11045846	A Pricing Mechanism for Digital Content Distribution Over Computer Networks	Analysis & Policy Observatory (APO)	2009	Copycats? Digital consumers in the on-line age	http://apo.org.au/node/19575
10.1080/07421222.2004.11045779	A Comparison of Classification Methods for Predicting Deception in Computer-Mediated Communication	National Academies Press	2011	Threatening Communications and Behavior: Perspectives on the Pursuit of Public Figures	https://www.nap.edu/catalog/13091/threatening-communications-and-behavior-perspectives-on-the-pursuit-of-public
10.1080/07421222.2003.11045742	Because Time Matters: Temporal Coordination in Global Virtual Project Teams	National Academies Press	2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1080/07421222.2000.11518265	Information Technology Payoff in the Health-Care Industry: A Longitudinal Study	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1080/07421222.1997.11518142	To Purchase or to Pirate Software: An Empirical Study	Analysis & Policy Observatory (APO)	2007	Copyright protection and innovation in the presence of commercial piracy	http://apo.org.au/node/15774
10.1080/07421222.1997.11518166	Information Technology and Internal Firm Organization: An Exploratory Analysis	National Academies Press	1998	Fostering Research on the Economic and Social Impacts of Information Technology	https://www.nap.edu/catalog/6269/fostering-research-on-the-economic-and-social-impacts-of-information-technology
10.1080/07421222.1997.11518146	Organizational Transformation Using Electronic Data Interchange: The Case of TradeNet in Singapore	The Inter-American Development Bank	2016	Out of the Border Labyrinth: An Assessment of Trade Facilitation Initiatives in Latin America and the Caribbean	https://publications.iadb.org/handle/11319/7994?locale-attribute=en
10.1080/07421222.1997.11518164	Competing in Information-Intensive Services: Analyzing the Impact of Task Consolidation and Employee Empowerment	UNESCO	2017	Integrity and accountability in education in Tajikistan	http://www.unesco.org/ulis/cgi-bin/ulis.pl?catno=259551&gp=1&lin=1&ll=1&set=005A727078_1_399
10.1080/07421222.1993.11518003	A Short-Form Measure of Career Orientations: A Psychometric Evaluation	Analysis & Policy Observatory (APO)	2008	'Follow your bliss' or 'show me the money'? Career orientations, career management competence and career success	http://apo.org.au/node/14938
10.1080/07421222.1994.11518019	The Global Network Organization of the Future: Information Management Opportunities and Challenges	The Publications Office of the European Union	2014	Sustainable value creation in networked working environments (network4value) - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/5f17981e-354d-43c2-9d61-85882a02f7a7/language-en/format-PDF
10.1080/07421222.1993.11517998	The Impact of Information Technology on the Organization of Economic Activity: The “Move to the Middle” Hypothesis	rijksoverheid.nl	2010	Uitbesteden? Wat brengt de toekomst. Vier scenario's voor intermediaire e-overheidsdiensten voor bedrijven - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2010/07/16/uitbesteden-wat-brengt-de-toekomst-vier-scenario-s-voor-intermediaire-e-overheidsdiensten-voor-bedrijven
10.1080/07421222.1999.11518247	Examining the Technology Acceptance Model Using Physician Acceptance of Telemedicine Technology	World Health Organization	2010	Context dependency of medical devices: background paper 5, August 2010	http://apps.who.int/iris/handle/10665/70456
10.1080/07421222.1990.11517880	Path Analysis of the Relationship between Competitive Strategy, Information Technology, and Financial Performance	National Academies Press	1997	Precision Agriculture in the 21st Century: Geospatial and Information Technologies in Crop Management	https://www.nap.edu/catalog/5491/precision-agriculture-in-the-21st-century-geospatial-and-information-technologies
10.1080/07421222.1990.11517889	A Microeconomic Approach to the Measurement of Information Technology Value	National Academies Press	1994	Information Technology in the Service Society: A Twenty-First Century Lever	https://www.nap.edu/catalog/2237/information-technology-in-the-service-society-a-twenty-first-century
10.1080/07421222.1986.11517760	Financial Impact of Information Processing	National Academies Press	1998	Fostering Research on the Economic and Social Impacts of Information Technology	https://www.nap.edu/catalog/6269/fostering-research-on-the-economic-and-social-impacts-of-information-technology
10.1080/07421222.1998.11518185	Is Anybody Out There? Antecedents of Trust in Global Teams	National Academies Press	2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1080/07421222.1998.11518185	Is Anybody Out There? Antecedents of Trust in Global Teams	The Publications Office of the European Union	2014	Sustainable value creation in networked working environments (network4value) - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/5f17981e-354d-43c2-9d61-85882a02f7a7/language-en/format-PDF
10.2753/mis0742-1222230302	Enabling Customer-Centricity Using Wikis and the Wiki Way	Analysis & Policy Observatory (APO)	2007	Cultural institutions and Web 2.0	http://apo.org.au/node/16953
10.2753/mis0742-1222230210	Do I Trust You Online, and If So, Will I Buy? An Empirical Study of Two Trust-Building Strategies	Analysis & Policy Observatory (APO)	2009	Copycats? Digital consumers in the on-line age	http://apo.org.au/node/19575
10.1080/07421222.2002.11045715	Individual Trust in Online Firms: Scale Development and Initial Test	UK Government (GOV.UK)	2012	Trust and confidence in pensions: A literature review	https://www.gov.uk/government/publications/trust-and-confidence-in-pensions-a-literature-review
10.1080/07421222.2001.11045676	Organizational Knowledge Management: A Contingency Perspective	National Academies Press	2016	A National Trauma Care System: Integrating Military and Civilian Trauma Systems to Achieve Zero Preventable Deaths After Injury	https://www.nap.edu/catalog/23511/a-national-trauma-care-system-integrating-military-and-civilian-trauma
10.1080/07421222.1996.11518099	Beyond accuracy: what data quality means to data consumers	National Academies Press	2017	Data Management and Governance Practices	https://www.nap.edu/catalog/24777/data-management-and-governance-practices
10.1080/07421222.1996.11518099	Beyond accuracy: what data quality means to data consumers	Analysis & Policy Observatory (APO)	2010	Stewardship and usefulness: policy principles for information-based transparency	http://apo.org.au/node/23342
10.2753/mis0742-1222220307	An Empirical Examination of the Influence of Organizational Culture on Knowledge Management Practices	World Bank	2014	Learning and Results in World Bank Operations : How the Bank Learns, Evaluation 1	https://openknowledge.worldbank.org/bitstream/10986/19982/1/894210WP0learn0Box385279B00PUBLIC0l.pdf
10.1080/07421222.2003.11045759	Software Piracy in the Workplace: A Model and Empirical Test	National Bureau of Economic Research	2013	The Nature and Incidence of Software Piracy: Evidence from Windows	http://nber.org/papers/w19755
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1016/s0963-8687(04)00003-4	Information technology and the transformation of industries: three research perspectives	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1016/s0963-8687(01)00043-9	Information technology, strategic decision making approaches and organizational performance in different industrial settings	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1016/s0963-8687(02)00023-9	Bridging communities of practice with information technology in pursuit of global knowledge sharing	Analysis & Policy Observatory (APO)	2010	The Internet economy 25 years after .com: transforming life and commerce	http://apo.org.au/node/21452
10.1016/j.jsis.2009.05.001	The role of IT in crisis response: Lessons from the SARS and Asian Tsunami disasters	World Health Organization	2014	A systematic review of public health emergency operations centres (EOC): December 2013	http://apps.who.int/iris/handle/10665/99043
10.1016/j.jsis.2012.03.002	‘Orchestrating’ sustainable crowdsourcing: A characterisation of solver brokerages	The Publications Office of the European Union	2015	Open innovation in industry, including 3D printing - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/45146fea-0559-4624-8c86-5bd1b3ff142b/language-en/format-PDF
10.1016/j.jsis.2012.04.003	How does social software change knowledge management? Toward a strategic research agenda	Analysis & Policy Observatory (APO)	2014	Evaluating the user perceived usefulness of enterprise social networking	http://apo.org.au/node/53153
10.1016/j.jsis.2011.11.002	Knowledge risks in organizational networks: The practice perspective	Analysis & Policy Observatory (APO)	2017	Towards responsive regulation of the Internet of Things: Australian perspectives	http://apo.org.au/node/74849
10.1016/j.jsis.2015.09.001	Resistance to crowdfunding among entrepreneurs: An impression management perspective 	The Publications Office of the European Union	2017	Assessing the potential for crowdfunding and other forms of alternative finance to support research and innovation - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/760f5f64-316b-11e7-9412-01aa75ed71a1/language-en/format-PDF
10.1016/j.jsis.2015.09.001	Resistance to crowdfunding among entrepreneurs: An impression management perspective 	The Publications Office of the European Union	2017	Assessing the potential for crowdfunding and other forms of alternative finance to support research and innovation - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/3190dbeb-316e-11e7-9412-01aa75ed71a1/language-en/format-PDF
10.1016/0963-8687(95)80020-q	Cooperative supply chain management: the impact of interorganizational information systems	World Bank	2007	Science, Technology and Skills	https://openknowledge.worldbank.org/bitstream/10986/9201/1/WDR2008_0026.pdf
doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.2307/249690	On the Use, Usefulness, and Ease of Use of Structural Equation Modeling in MIS Research: A Note of Caution	Analysis & Policy Observatory (APO)	2014	Factors impacting teachers’ adoption of mobile learning	http://apo.org.au/node/41352
